"filename", "language", "JavaScript", "CSS", "XML", "JSON", "Markdown", "HTML", "SCSS", "Properties", "comment", "blank", "total"
"e:\MERN-School-Management-System\frontend\public\homepage\fonts\icomoon demo\fonts\icomoon.svg", "XML", 0, 0, 986, 0, 0, 0, 0, 0, 0, 0, 986
"e:\MERN-School-Management-System\frontend\public\homepage\fonts\icomoon demo\selection.json", "JSON", 0, 0, 0, 26483, 0, 0, 0, 0, 0, 0, 26483
"e:\MERN-School-Management-System\frontend\public\homepage\fonts\icomoon demo\style.css", "CSS", 0, 2949, 0, 0, 0, 0, 0, 0, 2, 4, 2955
"e:\MERN-School-Management-System\frontend\public\homepage\fonts\icomoon\icomoon.svg", "XML", 0, 0, 986, 0, 0, 0, 0, 0, 0, 0, 986
"e:\MERN-School-Management-System\frontend\public\homepage\gallery.html", "HTML", 0, 0, 0, 0, 0, 320, 0, 0, 14, 21, 355
"e:\MERN-School-Management-System\frontend\public\homepage\gulpfile.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 0, 29, 14, 139
"e:\MERN-School-Management-System\frontend\public\homepage\index.html", "HTML", 0, 0, 0, 0, 0, 478, 0, 0, 19, 44, 541
"e:\MERN-School-Management-System\frontend\public\homepage\js\custom.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"e:\MERN-School-Management-System\frontend\public\homepage\js\main.js", "JavaScript", 465, 0, 0, 0, 0, 0, 0, 0, 69, 96, 630
"e:\MERN-School-Management-System\frontend\public\homepage\js\main.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\MERN-School-Management-System\frontend\public\homepage\js\scripts.js", "JavaScript", 2414, 0, 0, 0, 0, 0, 0, 0, 928, 556, 3898
"e:\MERN-School-Management-System\frontend\public\homepage\js\scripts.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\MERN-School-Management-System\frontend\public\homepage\js\vendor\bootstrap.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7
"e:\MERN-School-Management-System\frontend\public\homepage\js\vendor\html5shiv.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"e:\MERN-School-Management-System\frontend\public\homepage\js\vendor\imagesloaded.pkgd.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 5, 1, 7
"e:\MERN-School-Management-System\frontend\public\homepage\js\vendor\isotope.pkgd.min.js", "JavaScript", 2161, 0, 0, 0, 0, 0, 0, 0, 824, 530, 3515
"e:\MERN-School-Management-System\frontend\public\homepage\js\vendor\jquery.appear.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 14, 16, 118
"e:\MERN-School-Management-System\frontend\public\homepage\js\vendor\jquery.countTo.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 0, 3, 21, 130
"e:\MERN-School-Management-System\frontend\public\homepage\js\vendor\jquery.easing.1.3.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 0, 70, 3, 205
"e:\MERN-School-Management-System\frontend\public\homepage\js\vendor\jquery.flexslider-min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"e:\MERN-School-Management-System\frontend\public\homepage\js\vendor\jquery.magnific-popup.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"e:\MERN-School-Management-System\frontend\public\homepage\js\vendor\jquery.min.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"e:\MERN-School-Management-System\frontend\public\homepage\js\vendor\jquery.stellar.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"e:\MERN-School-Management-System\frontend\public\homepage\js\vendor\jquery.waypoints.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"e:\MERN-School-Management-System\frontend\public\homepage\js\vendor\owl.carousel.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"e:\MERN-School-Management-System\frontend\public\homepage\js\vendor\photoswipe-ui-default.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"e:\MERN-School-Management-System\frontend\public\homepage\js\vendor\photoswipe.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"e:\MERN-School-Management-System\frontend\public\homepage\js\vendor\respond.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 5
"e:\MERN-School-Management-System\frontend\public\homepage\package.json", "JSON", 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"e:\MERN-School-Management-System\frontend\public\homepage\scss\_custom-settings.scss", "SCSS", 0, 0, 0, 0, 0, 0, 37, 0, 4, 8, 49
"e:\MERN-School-Management-System\frontend\public\homepage\scss\style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 2472, 0, 70, 131, 2673
"e:\MERN-School-Management-System\frontend\public\homepage\teachers.html", "HTML", 0, 0, 0, 0, 0, 432, 0, 0, 13, 24, 469
"e:\MERN-School-Management-System\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 0, 7, 4, 27
"e:\MERN-School-Management-System\frontend\src\App.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 12, 53
"e:\MERN-School-Management-System\frontend\src\assets\assignment.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"e:\MERN-School-Management-System\frontend\src\assets\students.svg", "XML", 0, 0, 94, 0, 0, 0, 0, 0, 0, 1, 95
"e:\MERN-School-Management-System\frontend\src\assets\subjects.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"e:\MERN-School-Management-System\frontend\src\assets\time.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"e:\MERN-School-Management-System\frontend\src\components\AccountMenu.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 6, 103
"e:\MERN-School-Management-System\frontend\src\components\CustomBarChart.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 95, 31, 215
"e:\MERN-School-Management-System\frontend\src\components\CustomPieChart.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 43, 12, 92
"e:\MERN-School-Management-System\frontend\src\components\ErrorPage.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"e:\MERN-School-Management-System\frontend\src\components\Popup.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"e:\MERN-School-Management-System\frontend\src\components\SeeNotice.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 8, 63
"e:\MERN-School-Management-System\frontend\src\components\SpeedDialTemplate.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"e:\MERN-School-Management-System\frontend\src\components\TableTemplate.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 2, 71
